s,n,v_kph,f_drive,curvature_cmd
0.0002,0.0000,272.1113,4841.6159,0.0100
21.6653,0.0000,272.1113,4841.6159,0.0100
43.3305,0.0000,272.1113,4841.6159,0.0100
64.9958,0.0000,272.1113,4841.6159,0.0100
86.6611,0.0000,272.1113,4841.6159,0.0100
108.3263,0.0000,272.1113,4841.6159,0.0100
129.9916,0.0000,272.1113,4841.6159,0.0100
151.6569,0.0000,272.1113,4841.6159,0.0100
173.3221,0.0000,272.1113,4841.6159,0.0100
194.9874,0.0000,272.1113,4841.6159,0.0100
216.6527,0.0000,272.1113,4841.6159,0.0100
238.3179,0.0000,272.1113,4841.6159,0.0100
259.9832,0.0000,272.1113,4841.6159,0.0100
281.6484,0.0000,272.1113,4841.6159,0.0100
303.3137,0.0000,272.1113,4841.6159,0.0100
324.9790,0.0000,272.1113,4841.6159,0.0100
346.6442,0.0000,272.1113,4841.6159,0.0100
368.3095,0.0000,272.1113,4841.6159,0.0100
389.9748,0.0000,272.1113,4841.6159,0.0100
411.6400,0.0000,272.1113,4841.6159,0.0100
433.3053,0.0000,272.1113,4841.6159,0.0100
454.9706,0.0000,272.1113,4841.6159,0.0100
476.6358,0.0000,272.1113,4841.6159,0.0100
498.3011,0.0000,272.1113,4841.6159,0.0100
519.9664,0.0000,272.1113,4841.6159,0.0100
541.6316,0.0000,272.1113,4841.6159,0.0100
563.2969,0.0000,272.1113,4841.6159,0.0100
584.9622,0.0000,272.1113,4841.6159,0.0100
606.6274,0.0000,272.1113,4841.6159,0.0100
628.2927,0.0000,272.1113,4841.6159,0.0100
