s,x,y,speed,speed_kph,lateral_g,longitudinal_g,curvature
0.0000,100.0000,0.0000,75.5864,272.1111,5.8242,-0.0000,0.0100
3.1415,99.9507,3.1411,75.5864,272.1111,5.8242,-0.0000,0.0100
6.2829,99.8027,6.2791,75.5864,272.1111,5.8242,0.0000,0.0100
9.4244,99.5562,9.4108,75.5864,272.1111,5.8242,0.0000,0.0100
12.5659,99.2115,12.5333,75.5864,272.1111,5.8242,-0.0000,0.0100
15.7073,98.7688,15.6434,75.5864,272.1111,5.8242,-0.0000,0.0100
18.8488,98.2287,18.7381,75.5864,272.1111,5.8242,-0.0000,0.0100
21.9902,97.5917,21.8143,75.5864,272.1111,5.8242,-0.0000,0.0100
25.1317,96.8583,24.8690,75.5864,272.1111,5.8242,0.0000,0.0100
28.2732,96.0294,27.8991,75.5864,272.1111,5.8242,0.0000,0.0100
31.4146,95.1057,30.9017,75.5864,272.1111,5.8242,0.0000,0.0100
34.5561,94.0881,33.8738,75.5864,272.1111,5.8242,-0.0000,0.0100
37.6976,92.9776,36.8125,75.5864,272.1111,5.8242,-0.0000,0.0100
40.8390,91.7755,39.7148,75.5864,272.1111,5.8242,0.0000,0.0100
43.9805,90.4827,42.5779,75.5864,272.1111,5.8242,0.0000,0.0100
47.1220,89.1007,45.3990,75.5864,272.1111,5.8242,0.0000,0.0100
50.2634,87.6307,48.1754,75.5864,272.1111,5.8242,-0.0000,0.0100
53.4049,86.0742,50.9041,75.5864,272.1111,5.8242,-0.0000,0.0100
56.5463,84.4328,53.5827,75.5864,272.1111,5.8242,-0.0000,0.0100
59.6878,82.7081,56.2083,75.5864,272.1111,5.8242,0.0000,0.0100
62.8293,80.9017,58.7785,75.5864,272.1111,5.8242,0.0000,0.0100
65.9707,79.0155,61.2907,75.5864,272.1111,5.8242,-0.0000,0.0100
69.1122,77.0513,63.7424,75.5864,272.1111,5.8242,0.0000,0.0100
72.2537,75.0111,66.1312,75.5864,272.1111,5.8242,0.0000,0.0100
75.3951,72.8969,68.4547,75.5864,272.1111,5.8242,-0.0000,0.0100
78.5366,70.7107,70.7107,75.5864,272.1111,5.8242,-0.0000,0.0100
81.6781,68.4547,72.8969,75.5864,272.1111,5.8242,0.0000,0.0100
84.8195,66.1312,75.0111,75.5864,272.1111,5.8242,0.0000,0.0100
87.9610,63.7424,77.0513,75.5864,272.1111,5.8242,-0.0000,0.0100
91.1024,61.2907,79.0155,75.5864,272.1111,5.8242,0.0000,0.0100
94.2439,58.7785,80.9017,75.5864,272.1111,5.8242,0.0000,0.0100
97.3854,56.2083,82.7081,75.5864,272.1111,5.8242,-0.0000,0.0100
100.5268,53.5827,84.4328,75.5864,272.1111,5.8242,-0.0000,0.0100
103.6683,50.9041,86.0742,75.5864,272.1111,5.8242,-0.0000,0.0100
106.8098,48.1754,87.6307,75.5864,272.1111,5.8242,-0.0000,0.0100
109.9512,45.3990,89.1007,75.5864,272.1111,5.8242,0.0000,0.0100
113.0927,42.5779,90.4827,75.5864,272.1111,5.8242,-0.0000,0.0100
116.2341,39.7148,91.7755,75.5864,272.1111,5.8242,-0.0000,0.0100
119.3756,36.8125,92.9776,75.5864,272.1111,5.8242,-0.0000,0.0100
122.5171,33.8738,94.0881,75.5864,272.1111,5.8242,-0.0000,0.0100
125.6585,30.9017,95.1057,75.5864,272.1111,5.8242,0.0000,0.0100
128.8000,27.8991,96.0294,75.5864,272.1111,5.8242,0.0000,0.0100
131.9415,24.8690,96.8583,75.5864,272.1111,5.8242,-0.0000,0.0100
135.0829,21.8143,97.5917,75.5864,272.1111,5.8242,0.0000,0.0100
138.2244,18.7381,98.2287,75.5864,272.1111,5.8242,0.0000,0.0100
141.3659,15.6434,98.7688,75.5864,272.1111,5.8242,-0.0000,0.0100
144.5073,12.5333,99.2115,75.5864,272.1111,5.8242,-0.0000,0.0100
147.6488,9.4108,99.5562,75.5864,272.1111,5.8242,0.0000,0.0100
150.7902,6.2791,99.8027,75.5864,272.1111,5.8242,0.0000,0.0100
153.9317,3.1411,99.9507,75.5864,272.1111,5.8242,-0.0000,0.0100
157.0732,0.0000,100.0000,75.5864,272.1111,5.8242,-0.0000,0.0100
160.2146,-3.1411,99.9507,75.5864,272.1111,5.8242,-0.0000,0.0100
163.3561,-6.2791,99.8027,75.5864,272.1111,5.8242,0.0000,0.0100
166.4976,-9.4108,99.5562,75.5864,272.1111,5.8242,0.0000,0.0100
169.6390,-12.5333,99.2115,75.5864,272.1111,5.8242,-0.0000,0.0100
172.7805,-15.6434,98.7688,75.5864,272.1111,5.8242,-0.0000,0.0100
175.9220,-18.7381,98.2287,75.5864,272.1111,5.8242,-0.0000,0.0100
179.0634,-21.8143,97.5917,75.5864,272.1111,5.8242,-0.0000,0.0100
182.2049,-24.8690,96.8583,75.5864,272.1111,5.8242,0.0000,0.0100
185.3463,-27.8991,96.0294,75.5864,272.1111,5.8242,0.0000,0.0100
188.4878,-30.9017,95.1057,75.5864,272.1111,5.8242,-0.0000,0.0100
191.6293,-33.8738,94.0881,75.5864,272.1111,5.8242,-0.0000,0.0100
194.7707,-36.8125,92.9776,75.5864,272.1111,5.8242,0.0000,0.0100
197.9122,-39.7148,91.7755,75.5864,272.1111,5.8242,0.0000,0.0100
201.0537,-42.5779,90.4827,75.5864,272.1111,5.8242,-0.0000,0.0100
204.1951,-45.3990,89.1007,75.5864,272.1111,5.8242,0.0000,0.0100
207.3366,-48.1754,87.6307,75.5864,272.1111,5.8242,0.0000,0.0100
210.4781,-50.9041,86.0742,75.5864,272.1111,5.8242,-0.0000,0.0100
213.6195,-53.5827,84.4328,75.5864,272.1111,5.8242,-0.0000,0.0100
216.7610,-56.2083,82.7081,75.5864,272.1111,5.8242,0.0000,0.0100
219.9024,-58.7785,80.9017,75.5864,272.1111,5.8242,0.0000,0.0100
223.0439,-61.2907,79.0155,75.5864,272.1111,5.8242,-0.0000,0.0100
226.1854,-63.7424,77.0513,75.5864,272.1111,5.8242,-0.0000,0.0100
229.3268,-66.1312,75.0111,75.5864,272.1111,5.8242,0.0000,0.0100
232.4683,-68.4547,72.8969,75.5864,272.1111,5.8242,0.0000,0.0100
235.6098,-70.7107,70.7107,75.5864,272.1111,5.8242,-0.0000,0.0100
238.7512,-72.8969,68.4547,75.5864,272.1111,5.8242,0.0000,0.0100
241.8927,-75.0111,66.1312,75.5864,272.1111,5.8242,0.0000,0.0100
245.0342,-77.0513,63.7424,75.5864,272.1111,5.8242,-0.0000,0.0100
248.1756,-79.0155,61.2907,75.5864,272.1111,5.8242,-0.0000,0.0100
251.3171,-80.9017,58.7785,75.5864,272.1111,5.8242,0.0000,0.0100
254.4585,-82.7081,56.2083,75.5864,272.1111,5.8242,0.0000,0.0100
257.6000,-84.4328,53.5827,75.5864,272.1111,5.8242,-0.0000,0.0100
260.7415,-86.0742,50.9041,75.5864,272.1111,5.8242,-0.0000,0.0100
263.8829,-87.6307,48.1754,75.5864,272.1111,5.8242,-0.0000,0.0100
267.0244,-89.1007,45.3990,75.5864,272.1111,5.8242,0.0000,0.0100
270.1659,-90.4827,42.5779,75.5864,272.1111,5.8242,0.0000,0.0100
273.3073,-91.7755,39.7148,75.5864,272.1111,5.8242,-0.0000,0.0100
276.4488,-92.9776,36.8125,75.5864,272.1111,5.8242,-0.0000,0.0100
279.5902,-94.0881,33.8738,75.5864,272.1111,5.8242,0.0000,0.0100
282.7317,-95.1057,30.9017,75.5864,272.1111,5.8242,0.0000,0.0100
285.8732,-96.0294,27.8991,75.5864,272.1111,5.8242,0.0000,0.0100
289.0146,-96.8583,24.8690,75.5864,272.1111,5.8242,0.0000,0.0100
292.1561,-97.5917,21.8143,75.5864,272.1111,5.8242,-0.0000,0.0100
295.2976,-98.2287,18.7381,75.5864,272.1111,5.8242,-0.0000,0.0100
298.4390,-98.7688,15.6434,75.5864,272.1111,5.8242,0.0000,0.0100
301.5805,-99.2115,12.5333,75.5864,272.1111,5.8242,-0.0000,0.0100
304.7220,-99.5562,9.4108,75.5864,272.1111,5.8242,0.0000,0.0100
307.8634,-99.8027,6.2791,75.5864,272.1111,5.8242,0.0000,0.0100
311.0049,-99.9507,3.1411,75.5864,272.1111,5.8242,-0.0000,0.0100
314.1463,-100.0000,0.0000,75.5864,272.1111,5.8242,-0.0000,0.0100
317.2878,-99.9507,-3.1411,75.5864,272.1111,5.8242,-0.0000,0.0100
320.4293,-99.8027,-6.2791,75.5864,272.1111,5.8242,0.0000,0.0100
323.5707,-99.5562,-9.4108,75.5864,272.1111,5.8242,0.0000,0.0100
326.7122,-99.2115,-12.5333,75.5864,272.1111,5.8242,-0.0000,0.0100
329.8537,-98.7688,-15.6434,75.5864,272.1111,5.8242,-0.0000,0.0100
332.9951,-98.2287,-18.7381,75.5864,272.1111,5.8242,0.0000,0.0100
336.1366,-97.5917,-21.8143,75.5864,272.1111,5.8242,-0.0000,0.0100
339.2781,-96.8583,-24.8690,75.5864,272.1111,5.8242,-0.0000,0.0100
342.4195,-96.0294,-27.8991,75.5864,272.1111,5.8242,0.0000,0.0100
345.5610,-95.1057,-30.9017,75.5864,272.1111,5.8242,0.0000,0.0100
348.7024,-94.0881,-33.8738,75.5864,272.1111,5.8242,0.0000,0.0100
351.8439,-92.9776,-36.8125,75.5864,272.1111,5.8242,-0.0000,0.0100
354.9854,-91.7755,-39.7148,75.5864,272.1111,5.8242,0.0000,0.0100
358.1268,-90.4827,-42.5779,75.5864,272.1111,5.8242,0.0000,0.0100
361.2683,-89.1007,-45.3990,75.5864,272.1111,5.8242,-0.0000,0.0100
364.4098,-87.6307,-48.1754,75.5864,272.1111,5.8242,-0.0000,0.0100
367.5512,-86.0742,-50.9041,75.5864,272.1111,5.8242,0.0000,0.0100
370.6927,-84.4328,-53.5827,75.5864,272.1111,5.8242,0.0000,0.0100
373.8342,-82.7081,-56.2083,75.5864,272.1111,5.8242,-0.0000,0.0100
376.9756,-80.9017,-58.7785,75.5864,272.1111,5.8242,-0.0000,0.0100
380.1171,-79.0155,-61.2907,75.5864,272.1111,5.8242,0.0000,0.0100
383.2585,-77.0513,-63.7424,75.5864,272.1111,5.8242,0.0000,0.0100
386.4000,-75.0111,-66.1312,75.5864,272.1111,5.8242,-0.0000,0.0100
389.5415,-72.8969,-68.4547,75.5864,272.1111,5.8242,-0.0000,0.0100
392.6829,-70.7107,-70.7107,75.5864,272.1111,5.8242,0.0000,0.0100
395.8244,-68.4547,-72.8969,75.5864,272.1111,5.8242,0.0000,0.0100
398.9659,-66.1312,-75.0111,75.5864,272.1111,5.8242,-0.0000,0.0100
402.1073,-63.7424,-77.0513,75.5864,272.1111,5.8242,-0.0000,0.0100
405.2488,-61.2907,-79.0155,75.5864,272.1111,5.8242,-0.0000,0.0100
408.3903,-58.7785,-80.9017,75.5864,272.1111,5.8242,0.0000,0.0100
411.5317,-56.2083,-82.7081,75.5864,272.1111,5.8242,0.0000,0.0100
414.6732,-53.5827,-84.4328,75.5864,272.1111,5.8242,-0.0000,0.0100
417.8146,-50.9041,-86.0742,75.5864,272.1111,5.8242,-0.0000,0.0100
420.9561,-48.1754,-87.6307,75.5864,272.1111,5.8242,-0.0000,0.0100
424.0976,-45.3990,-89.1007,75.5864,272.1111,5.8242,0.0000,0.0100
427.2390,-42.5779,-90.4827,75.5864,272.1111,5.8242,-0.0000,0.0100
430.3805,-39.7148,-91.7755,75.5864,272.1111,5.8242,-0.0000,0.0100
433.5220,-36.8125,-92.9776,75.5864,272.1111,5.8242,0.0000,0.0100
436.6634,-33.8738,-94.0881,75.5864,272.1111,5.8242,-0.0000,0.0100
439.8049,-30.9017,-95.1057,75.5864,272.1111,5.8242,0.0000,0.0100
442.9463,-27.8991,-96.0294,75.5864,272.1111,5.8242,0.0000,0.0100
446.0878,-24.8690,-96.8583,75.5864,272.1111,5.8242,-0.0000,0.0100
449.2293,-21.8143,-97.5917,75.5864,272.1111,5.8242,-0.0000,0.0100
452.3707,-18.7381,-98.2287,75.5864,272.1111,5.8242,0.0000,0.0100
455.5122,-15.6434,-98.7688,75.5864,272.1111,5.8242,0.0000,0.0100
458.6537,-12.5333,-99.2115,75.5864,272.1111,5.8242,-0.0000,0.0100
461.7951,-9.4108,-99.5562,75.5864,272.1111,5.8242,0.0000,0.0100
464.9366,-6.2791,-99.8027,75.5864,272.1111,5.8242,0.0000,0.0100
468.0781,-3.1411,-99.9507,75.5864,272.1111,5.8242,-0.0000,0.0100
471.2195,-0.0000,-100.0000,75.5864,272.1111,5.8242,-0.0000,0.0100
474.3610,3.1411,-99.9507,75.5864,272.1111,5.8242,-0.0000,0.0100
477.5024,6.2791,-99.8027,75.5864,272.1111,5.8242,0.0000,0.0100
480.6439,9.4108,-99.5562,75.5864,272.1111,5.8242,0.0000,0.0100
483.7854,12.5333,-99.2115,75.5864,272.1111,5.8242,-0.0000,0.0100
486.9268,15.6434,-98.7688,75.5864,272.1111,5.8242,0.0000,0.0100
490.0683,18.7381,-98.2287,75.5864,272.1111,5.8242,0.0000,0.0100
493.2098,21.8143,-97.5917,75.5864,272.1111,5.8242,-0.0000,0.0100
496.3512,24.8690,-96.8583,75.5864,272.1111,5.8242,0.0000,0.0100
499.4927,27.8991,-96.0294,75.5864,272.1111,5.8242,0.0000,0.0100
502.6342,30.9017,-95.1057,75.5864,272.1111,5.8242,-0.0000,0.0100
505.7756,33.8738,-94.0881,75.5864,272.1111,5.8242,0.0000,0.0100
508.9171,36.8125,-92.9776,75.5864,272.1111,5.8242,0.0000,0.0100
512.0585,39.7148,-91.7755,75.5864,272.1111,5.8242,-0.0000,0.0100
515.2000,42.5779,-90.4827,75.5864,272.1111,5.8242,-0.0000,0.0100
518.3415,45.3990,-89.1007,75.5864,272.1111,5.8242,0.0000,0.0100
521.4829,48.1754,-87.6307,75.5864,272.1111,5.8242,0.0000,0.0100
524.6244,50.9041,-86.0742,75.5864,272.1111,5.8242,0.0000,0.0100
527.7659,53.5827,-84.4328,75.5864,272.1111,5.8242,0.0000,0.0100
530.9073,56.2083,-82.7081,75.5864,272.1111,5.8242,-0.0000,0.0100
534.0488,58.7785,-80.9017,75.5864,272.1111,5.8242,0.0000,0.0100
537.1903,61.2907,-79.0155,75.5864,272.1111,5.8242,-0.0000,0.0100
540.3317,63.7424,-77.0513,75.5864,272.1111,5.8242,-0.0000,0.0100
543.4732,66.1312,-75.0111,75.5864,272.1111,5.8242,0.0000,0.0100
546.6146,68.4547,-72.8969,75.5864,272.1111,5.8242,0.0000,0.0100
549.7561,70.7107,-70.7107,75.5864,272.1111,5.8242,-0.0000,0.0100
552.8976,72.8969,-68.4547,75.5864,272.1111,5.8242,0.0000,0.0100
556.0390,75.0111,-66.1312,75.5864,272.1111,5.8242,0.0000,0.0100
559.1805,77.0513,-63.7424,75.5864,272.1111,5.8242,-0.0000,0.0100
