s,x,y,speed,speed_kph,lateral_g,longitudinal_g,curvature
0.0000,0.0000,0.0000,126.9737,457.1053,0.0000,0.1982,-0.0000
9.2767,0.0000,9.2767,127.1157,457.6163,0.0000,0.1944,-0.0000
18.5534,0.0000,18.5534,127.2547,458.1170,0.0000,0.1906,0.0000
27.8301,0.0000,27.8301,127.3910,458.6075,0.0000,0.1870,0.0000
37.1067,0.0000,37.1067,127.5245,459.0881,0.0000,0.1834,0.0000
46.3834,0.0000,46.3834,127.6553,459.5590,0.0000,0.1798,0.0000
55.6601,0.0000,55.6601,127.7834,460.0203,0.0000,0.1764,0.0000
64.9368,0.0000,64.9368,127.9090,460.4723,0.0000,0.1730,0.0000
74.2135,0.0000,74.2135,128.0320,460.9152,0.0000,0.1697,0.0000
83.4902,0.0000,83.4902,128.1526,461.3492,0.0000,0.1664,0.0000
92.7668,0.0000,92.7668,128.2707,461.7744,0.0000,0.1632,0.0000
102.0435,0.0000,102.0435,128.3864,462.1911,0.0000,0.1601,0.0000
111.3202,0.0000,111.3202,128.4998,462.5994,0.0000,0.1570,0.0000
120.5969,0.0000,120.5969,128.6110,462.9995,0.0000,0.1540,0.0000
129.8736,0.0000,129.8736,128.7199,463.3916,0.0000,0.1510,0.0000
139.1503,0.0000,139.1503,128.8266,463.7758,0.0000,0.1481,0.0000
148.4270,0.0000,148.4270,128.9312,464.1523,0.0000,0.1453,0.0000
157.7036,0.0000,157.7036,129.0337,464.5213,0.0000,0.1425,0.0000
166.9803,0.0000,166.9803,129.1341,464.8829,0.0000,0.1397,0.0000
176.2570,0.0000,176.2570,129.2326,465.2373,0.0000,0.1371,0.0000
185.5337,0.0000,185.5337,129.3291,465.5846,0.0000,0.1344,0.0000
194.8104,0.0000,194.8104,129.4236,465.9250,0.0000,0.1318,0.0000
204.0871,0.0000,204.0871,129.5163,466.2586,0.0000,0.1293,0.0000
213.3637,0.0000,213.3637,129.6071,466.5855,0.0000,0.1268,0.0000
222.6404,0.0000,222.6404,129.6961,466.9059,0.0000,0.1244,0.0000
231.9171,0.0000,231.9171,129.7833,467.2200,0.0000,0.1220,0.0000
241.1938,0.0000,241.1938,129.8688,467.5278,0.0000,0.1196,0.0000
250.4705,0.0000,250.4705,129.9526,467.8295,0.0000,0.1173,0.0000
259.7472,0.0000,259.7472,130.0348,468.1253,0.0000,0.1151,0.0000
269.0239,0.0000,269.0239,130.1153,468.4151,0.0000,0.1129,0.0000
278.3005,0.0000,278.3005,130.1942,468.6992,0.0000,0.1107,0.0000
287.5772,0.0000,287.5772,130.2716,468.9777,0.0000,0.1086,0.0000
296.8539,0.0000,296.8539,130.3474,469.2507,0.0000,0.1065,0.0000
306.1306,0.0000,306.1306,130.4217,469.5182,0.0000,0.1044,0.0000
315.4073,0.0000,315.4073,130.4946,469.7805,0.0000,0.1024,0.0000
