s,x,y,speed,speed_kph,lateral_g,longitudinal_g,curvature
0.0000,-500.0000,-100.0000,76.4574,275.2467,2.9797,1.2836,0.0050
5.2566,-494.7434,-100.0000,77.3183,278.3461,0.7617,1.2697,0.0012
10.5133,-489.4867,-100.0000,78.1606,281.3780,0.0000,1.2558,0.0000
15.7699,-484.2301,-100.0000,78.9848,284.3452,0.0000,1.2422,0.0000
21.0265,-478.9735,-100.0000,79.7916,287.2499,0.0000,1.2286,0.0000
26.2832,-473.7168,-100.0000,80.5817,290.0943,0.0000,1.2152,0.0000
31.5398,-468.4602,-100.0000,81.3557,292.8806,0.0000,1.2020,0.0000
36.7965,-463.2035,-100.0000,82.1141,295.6106,0.0000,1.1889,0.0000
42.0531,-457.9469,-100.0000,82.8573,298.2864,0.0000,1.1760,0.0000
47.3097,-452.6903,-100.0000,83.5860,300.9096,0.0000,1.1631,0.0000
52.5664,-447.4336,-100.0000,84.3005,303.4819,0.0000,1.1505,0.0000
57.8230,-442.1770,-100.0000,85.0014,306.0050,0.0000,1.1379,0.0000
63.0796,-436.9204,-100.0000,85.6890,308.4802,0.0000,1.1255,0.0000
68.3363,-431.6637,-100.0000,86.3636,310.9091,0.0000,1.1133,0.0000
73.5929,-426.4071,-100.0000,87.0258,313.2930,0.0000,1.1012,0.0000
78.8496,-421.1504,-100.0000,87.6759,315.6333,0.0000,1.0892,0.0000
84.1062,-415.8938,-100.0000,88.3142,317.9311,0.0000,1.0773,0.0000
89.3628,-410.6372,-100.0000,88.9410,320.1876,0.0000,1.0656,0.0000
94.6195,-405.3805,-100.0000,89.5567,322.4040,0.0000,1.0539,0.0000
99.8761,-400.1239,-100.0000,90.1615,324.5814,0.0000,1.0425,0.0000
105.1327,-394.8673,-100.0000,90.7558,326.7208,0.0000,1.0311,0.0000
110.3894,-389.6106,-100.0000,91.3398,328.8232,0.0000,1.0199,0.0000
115.6460,-384.3540,-100.0000,91.9138,330.8896,0.0000,1.0088,0.0000
