s,x,y,speed,speed_kph,lateral_g,longitudinal_g,curvature
0.0000,0.0000,0.0000,81.7935,294.4566,0.0000,1.1945,-0.0000
12.7835,0.0000,12.7835,83.6048,300.9772,0.0000,1.1628,-0.0000
25.5670,0.0000,25.5670,85.3312,307.1922,0.0000,1.1320,0.0000
38.3505,0.0000,38.3505,86.9789,313.1240,0.0000,1.1020,0.0000
51.1339,0.0000,51.1339,88.5535,318.7927,0.0000,1.0728,0.0000
63.9174,0.0000,63.9174,90.0600,324.2160,0.0000,1.0444,0.0000
76.7009,0.0000,76.7009,91.5027,329.4098,0.0000,1.0167,0.0000
89.4844,0.0000,89.4844,92.8857,334.3886,0.0000,0.9898,0.0000
102.2679,0.0000,102.2679,94.2126,339.1653,0.0000,0.9636,0.0000
115.0514,0.0000,115.0514,95.4866,343.7517,0.0000,0.9380,0.0000
127.8349,0.0000,127.8349,96.7107,348.1585,0.0000,0.9132,0.0000
140.6184,0.0000,140.6184,97.8877,352.3957,0.0000,0.8890,0.0000
153.4018,0.0000,153.4018,99.0201,356.4722,0.0000,0.8655,0.0000
166.1853,0.0000,166.1853,100.1101,360.3965,0.0000,0.8425,0.0000
178.9688,0.0000,178.9688,101.1600,364.1762,0.0000,0.8202,0.0000
191.7523,0.0000,191.7523,102.1718,367.8184,0.0000,0.7985,0.0000
204.5358,0.0000,204.5358,103.1472,371.3298,0.0000,0.7773,0.0000
217.3193,0.0000,217.3193,104.0879,374.7166,0.0000,0.7567,0.0000
230.1028,0.0000,230.1028,104.9957,377.9845,0.0000,0.7367,0.0000
242.8863,0.0000,242.8863,105.8719,381.1389,0.0000,0.7172,0.0000
255.6697,0.0000,255.6697,106.7180,384.1849,0.0000,0.6982,0.0000
268.4532,0.0000,268.4532,107.5353,387.1272,0.0000,0.6797,0.0000
281.2367,0.0000,281.2367,108.3251,389.9702,0.0000,0.6617,0.0000
294.0202,0.0000,294.0202,109.0884,392.7181,0.0000,0.6441,0.0000
306.8037,0.0000,306.8037,109.8264,395.3749,0.6783,0.6271,-0.0006
319.5872,0.0000,319.5872,110.5401,397.9442,2.8633,0.6105,-0.0023
331.8584,0.3533,331.8534,111.2029,400.3304,5.1921,0.5949,-0.0041
344.1297,1.4122,344.0789,111.8451,402.6422,5.9850,0.5798,-0.0047
356.4010,3.1730,356.2231,112.4674,404.8826,6.0518,0.5651,-0.0047
368.6722,5.6300,368.2459,113.0706,407.0541,6.1169,0.5507,-0.0047
380.9435,8.7750,380.1073,113.6554,409.1593,6.1803,0.5367,-0.0047
393.2148,12.5976,391.7680,114.2224,411.2006,6.2422,0.5230,-0.0047
405.4860,17.0850,403.1893,114.7723,413.1803,6.3024,0.5097,-0.0047
417.7573,22.2225,414.3334,115.3057,415.1006,6.3611,0.4968,-0.0047
430.0286,27.9930,425.1633,115.8232,416.9635,6.4184,0.4841,-0.0047
442.2998,34.3773,435.6430,116.3253,418.7711,6.4741,0.4718,-0.0047
454.5711,41.3543,445.7378,116.8126,420.5252,6.5285,0.4598,-0.0047
466.8424,48.9008,455.4143,117.2855,422.2277,6.5814,0.4481,-0.0047
479.1136,56.9918,464.6403,117.7446,423.8804,6.6331,0.4367,-0.0047
491.3849,65.6005,473.3853,118.1902,425.4848,6.6834,0.4256,-0.0047
503.6562,74.6983,481.6202,118.6230,427.0426,6.7324,0.4148,-0.0047
515.9274,84.2550,489.3178,119.0432,428.5554,6.7802,0.4043,-0.0047
528.1987,94.2390,496.4525,119.4513,430.0246,6.8268,0.3940,-0.0047
